Price,Close,High,Low,Open,Volume
Ticker,VCB,VCB,VCB,VCB,VCB
Date,,,,,
2020-12-29,99200.0,99800.0,97800.0,98000.0,696510
2020-12-30,97900.0,99600.0,97500.0,99200.0,509510
2020-12-31,97900.0,99000.0,97000.0,97900.0,367140
2021-01-04,99000.0,99800.0,97300.0,98000.0,85590
2021-01-05,99300.0,100600.0,99000.0,99000.0,73920
2021-01-06,105000.0,106200.0,99300.0,99500.0,208040
2021-01-07,107000.0,108500.0,104000.0,104000.0,88900
2021-01-08,104800.0,108000.0,104500.0,108000.0,96390
2021-01-11,104500.0,105700.0,104100.0,104600.0,84740
2021-01-12,105600.0,105600.0,104200.0,105600.0,63490
2021-01-13,104800.0,106100.0,104000.0,105600.0,106420
2021-01-14,103900.0,105200.0,103300.0,105000.0,83220
2021-01-15,103200.0,104900.0,102500.0,104800.0,109980
2021-01-19,99000.0,103300.0,96100.0,103100.0,113030
2021-01-20,99100.0,105900.0,98000.0,99000.0,209300
2021-01-21,103000.0,103000.0,98000.0,99100.0,128370
2021-01-22,103000.0,104000.0,102000.0,103000.0,126850
2021-01-25,102500.0,103000.0,101100.0,101100.0,72590
2021-01-26,100900.0,102500.0,99000.0,102500.0,97050
2021-01-27,97400.0,100000.0,93900.0,99100.0,156680
2021-01-28,90600.0,93300.0,90600.0,92000.0,120550
2021-01-29,93000.0,96900.0,85500.0,85500.0,135900
2021-02-01,91100.0,96000.0,91000.0,96000.0,130960
2021-02-02,96500.0,96700.0,92000.0,92000.0,106450
2021-02-03,98900.0,99000.0,96600.0,97900.0,145460
2021-02-04,98900.0,99000.0,93900.0,98900.0,96730
2021-02-05,100000.0,100000.0,97900.0,98900.0,89740
2021-02-08,94100.0,99800.0,93100.0,99000.0,290220
2021-02-09,94100.0,94100.0,94100.0,94100.0,0
2021-02-10,94100.0,94100.0,94100.0,94100.0,0
2021-02-11,94100.0,94100.0,94100.0,94100.0,0
2021-02-12,94100.0,94100.0,94100.0,94100.0,0
2021-02-16,94100.0,94100.0,94100.0,94100.0,0
2021-02-17,100000.0,100000.0,97500.0,97500.0,105410
2021-02-18,102000.0,102000.0,98000.0,99000.0,168890
2021-02-19,101300.0,101700.0,99100.0,99200.0,185120
2021-02-22,100600.0,102000.0,100300.0,100500.0,138870
2021-02-23,100000.0,101000.0,99200.0,100000.0,144140
2021-02-24,100000.0,100000.0,100000.0,100000.0,0
2021-02-25,100000.0,100000.0,100000.0,100000.0,0
2021-02-26,98200.0,99000.0,97000.0,97300.0,107070
2021-03-01,99200.0,99300.0,98200.0,98200.0,91120
2021-03-02,99300.0,101800.0,98000.0,100000.0,118960
2021-03-03,98400.0,99400.0,98200.0,98300.0,91560
2021-03-04,97300.0,99500.0,93100.0,98600.0,111810
2021-03-05,96400.0,97200.0,95000.0,97100.0,166160
2021-03-08,95200.0,97000.0,95000.0,97000.0,150180
2021-03-09,95000.0,95000.0,93100.0,95000.0,134430
2021-03-10,95500.0,95800.0,94000.0,95000.0,106390
2021-03-11,96300.0,96800.0,95800.0,95800.0,100980
2021-03-12,95800.0,96500.0,94500.0,96300.0,125980
2021-03-15,96300.0,97000.0,95500.0,96000.0,143840
2021-03-16,95700.0,96000.0,95100.0,96000.0,65580
2021-03-17,95600.0,95800.0,95000.0,95500.0,123940
2021-03-18,97500.0,97500.0,95500.0,96200.0,160910
2021-03-19,94200.0,97100.0,94200.0,97100.0,159570
2021-03-22,97000.0,97500.0,95400.0,96000.0,190200
2021-03-23,95800.0,96900.0,95400.0,96900.0,94080
2021-03-24,94700.0,95900.0,94100.0,95000.0,142250
2021-03-25,95100.0,96000.0,94500.0,94700.0,116030
2021-03-26,94900.0,95500.0,93700.0,95000.0,119680
2021-03-29,95300.0,95800.0,93500.0,95200.0,119580
2021-03-30,94800.0,95300.0,94100.0,95300.0,174870
2021-03-31,94800.0,95100.0,94100.0,94500.0,94460
2021-04-01,96900.0,97700.0,95200.0,95200.0,269760
2021-04-05,102000.0,102800.0,98600.0,100000.0,359240
2021-04-06,101900.0,102500.0,100500.0,102000.0,224320
2021-04-07,101900.0,102000.0,100400.0,101000.0,118270
2021-04-08,100000.0,101900.0,99500.0,101900.0,157540
2021-04-09,97500.0,99500.0,97500.0,99500.0,210170
2021-04-12,98900.0,99200.0,97400.0,98500.0,267010
2021-04-13,97500.0,100000.0,97500.0,100000.0,167090
2021-04-14,98700.0,98700.0,96900.0,97300.0,133680
2021-04-15,97500.0,99800.0,96800.0,99800.0,215280
2021-04-16,96300.0,98500.0,96000.0,97300.0,151590
2021-04-19,98500.0,98500.0,95800.0,97000.0,138750
2021-04-20,103000.0,105000.0,98500.0,99100.0,627420
2021-04-21,103000.0,103000.0,103000.0,103000.0,0
2021-04-22,103000.0,105600.0,102200.0,103000.0,298130
2021-04-23,104000.0,104000.0,100500.0,103000.0,228530
2021-04-26,98600.0,104000.0,97900.0,104000.0,359540
2021-04-27,99000.0,99600.0,97700.0,98600.0,119180
2021-04-28,99000.0,99300.0,97700.0,99000.0,142690
2021-04-29,100000.0,100000.0,98000.0,99000.0,161570
2021-04-30,100000.0,100000.0,100000.0,100000.0,0
2021-05-03,100000.0,100000.0,100000.0,100000.0,0
2021-05-04,99100.0,99600.0,98000.0,99000.0,149630
2021-05-05,101200.0,102000.0,99100.0,99100.0,182670
2021-05-06,99300.0,101700.0,99000.0,101200.0,116120
2021-05-07,97000.0,99000.0,96700.0,98900.0,228480
2021-05-10,98100.0,98200.0,95900.0,96700.0,167400
2021-05-11,97900.0,99300.0,97500.0,98200.0,117150
2021-05-12,97300.0,97900.0,97000.0,97900.0,121830
2021-05-13,96800.0,97800.0,96800.0,97200.0,169800
2021-05-14,96900.0,98300.0,96600.0,97400.0,140360
2021-05-17,96000.0,97300.0,95800.0,97100.0,171510
2021-05-18,94600.0,96000.0,94500.0,95300.0,210340
2021-05-19,94100.0,94600.0,93800.0,94600.0,167810
2021-05-20,99000.0,99000.0,94100.0,94100.0,190410
2021-05-21,96800.0,98000.0,96000.0,96300.0,145920
2021-05-24,97400.0,98500.0,96500.0,97500.0,181470
2021-05-25,99800.0,100000.0,97400.0,97400.0,381600
2021-05-26,100400.0,101800.0,99700.0,99900.0,235600
2021-05-27,98700.0,100400.0,98000.0,100400.0,145500
2021-05-28,99600.0,101100.0,97600.0,99000.0,219600
2021-06-01,103700.0,104200.0,98700.0,99400.0,453350
2021-06-02,106000.0,107500.0,103700.0,104000.0,427410
2021-06-03,106700.0,108000.0,106000.0,106100.0,280200
2021-06-04,104900.0,106500.0,104100.0,106500.0,240580
2021-06-07,103000.0,104900.0,101200.0,104300.0,2969900
2021-06-08,103000.0,103000.0,103000.0,103000.0,0
2021-06-09,102000.0,102000.0,99200.0,100000.0,2393900
2021-06-10,101800.0,102900.0,100000.0,102000.0,2262500
2021-06-11,102800.0,103500.0,100500.0,101100.0,2048000
2021-06-14,102000.0,103400.0,101300.0,102100.0,1459700
2021-06-15,102800.0,103000.0,101000.0,102100.0,1420700
2021-06-16,104000.0,106000.0,102500.0,102500.0,2898400
2021-06-17,104200.0,105000.0,102000.0,104000.0,1557000
2021-06-18,108500.0,109000.0,104300.0,104500.0,3234900
2021-06-21,106600.0,108200.0,106000.0,108000.0,2107900
2021-06-22,107600.0,108500.0,106500.0,107100.0,1481900
2021-06-23,109700.0,111000.0,107000.0,108000.0,2248600
2021-06-24,110700.0,110800.0,107800.0,110000.0,1143400
2021-06-25,112600.0,112800.0,108900.0,110700.0,1688800
2021-06-28,112600.0,113000.0,111100.0,112600.0,1524500
2021-06-29,114000.0,114000.0,111500.0,112000.0,1853100
2021-06-30,116400.0,117200.0,114000.0,114000.0,2768000
2021-07-01,116400.0,116800.0,115000.0,116700.0,1836400
2021-07-02,114900.0,116600.0,114000.0,116400.0,1727200
2021-07-06,114900.0,114900.0,114900.0,114900.0,0
2021-07-07,114900.0,114900.0,114900.0,114900.0,0
2021-07-08,114900.0,114900.0,114900.0,114900.0,0
2021-07-09,109800.0,111100.0,106800.0,110000.0,2936900
2021-07-12,109800.0,109800.0,109800.0,109800.0,0
2021-07-13,103400.0,106900.0,102100.0,106900.0,1865300
2021-07-14,103400.0,103400.0,103400.0,103400.0,0
2021-07-15,102500.0,104500.0,100200.0,100200.0,2319400
2021-07-16,102500.0,102500.0,102500.0,102500.0,0
2021-07-19,97000.0,100200.0,95900.0,100000.0,2542200
2021-07-20,100200.0,101000.0,93500.0,97800.0,2386000
2021-07-21,99000.0,100500.0,98300.0,99500.0,1463700
2021-07-22,100300.0,100700.0,98000.0,98900.0,1455800
2021-07-23,97000.0,99800.0,97000.0,99300.0,1700300
2021-07-26,96000.0,97500.0,95700.0,96500.0,1264200
2021-07-27,95000.0,97600.0,95000.0,97500.0,2654200
2021-07-28,97000.0,97000.0,95100.0,95100.0,1490800
2021-07-29,97900.0,97900.0,97000.0,97400.0,1191800
2021-07-30,98000.0,98800.0,97200.0,97300.0,1354600
2021-08-02,98000.0,98000.0,98000.0,98000.0,0
2021-08-03,98800.0,98800.0,97000.0,97100.0,1265700
2021-08-04,98800.0,98800.0,98800.0,98800.0,0
2021-08-05,99400.0,99500.0,97900.0,98000.0,1127700
2021-08-06,98100.0,99800.0,98100.0,99800.0,1114400
2021-08-09,98300.0,98900.0,97700.0,98100.0,1228900
2021-08-10,98300.0,98300.0,98300.0,98300.0,0
2021-08-11,100500.0,101700.0,99100.0,99300.0,1711800
2021-08-12,99900.0,100800.0,99500.0,100500.0,986600
2021-08-13,99600.0,99900.0,98300.0,99900.0,1328900
2021-08-16,100600.0,100600.0,99000.0,99600.0,1992400
2021-08-17,100600.0,100600.0,100600.0,100600.0,0
2021-08-18,101000.0,102500.0,99700.0,101000.0,1848000
2021-08-19,102800.0,103000.0,99800.0,100700.0,2576600
2021-08-20,100100.0,101900.0,99400.0,101200.0,1798500
2021-08-23,97300.0,100000.0,96600.0,99000.0,2136200
2021-08-24,97000.0,99200.0,96500.0,99200.0,1069100
2021-08-25,97500.0,99000.0,96800.0,97000.0,1069200
2021-08-26,96800.0,99000.0,96800.0,97800.0,1076900
2021-08-27,97800.0,98500.0,96000.0,96000.0,1106600
2021-08-30,99300.0,99400.0,97800.0,98400.0,1221700
2021-08-31,99400.0,99900.0,98300.0,99500.0,747500
